species,region,range
Clusia schomburgkiana,d.-5.-10,200
Clusia schomburgkiana,e.-10.-15,N/A
Clusia schomburgkiana,f.-15.-20,N/A
Clusia schomburgkiana,g.-20.-25,N/A
Clusia sphaerocarpa,a.10.5,0
Clusia sphaerocarpa,b.5.0,1700
Clusia sphaerocarpa,c.0.-5,2400
Clusia sphaerocarpa,d.-5.-10,1400
Clusia sphaerocarpa,e.-10.-15,1500
Clusia sphaerocarpa,f.-15.-20,2400
Clusia sphaerocarpa,g.-20.-25,N/A
Clusia thurifera,a.10.5,1500
Clusia thurifera,b.5.0,0
Clusia thurifera,c.0.-5,1000
Clusia thurifera,d.-5.-10,200
Clusia thurifera,e.-10.-15,700
Clusia thurifera,f.-15.-20,N/A
Clusia thurifera,g.-20.-25,N/A
Clusia trochiformis,a.10.5,1600
Clusia trochiformis,b.5.0,400
Clusia trochiformis,c.0.-5,1000
Clusia trochiformis,d.-5.-10,1200
Clusia trochiformis,e.-10.-15,2900
Clusia trochiformis,f.-15.-20,1600
Clusia trochiformis,g.-20.-25,N/A
Coccoloba acuminata,a.10.5,500
Coccoloba acuminata,b.5.0,400
Coccoloba acuminata,c.0.-5,0
Coccoloba acuminata,d.-5.-10,100
Coccoloba acuminata,e.-10.-15,400
Coccoloba acuminata,f.-15.-20,0
Coccoloba acuminata,g.-20.-25,N/A
Coccoloba ascendens,a.10.5,200
Coccoloba ascendens,b.5.0,200
Coccoloba ascendens,c.0.-5,N/A
Coccoloba ascendens,d.-5.-10,0
Coccoloba ascendens,e.-10.-15,N/A
Coccoloba ascendens,f.-15.-20,N/A
Coccoloba ascendens,g.-20.-25,N/A
Coccoloba coronata,a.10.5,1200
Coccoloba coronata,b.5.0,N/A
Coccoloba coronata,c.0.-5,200
Coccoloba coronata,d.-5.-10,200
Coccoloba coronata,e.-10.-15,0
Coccoloba coronata,f.-15.-20,0
Coccoloba coronata,g.-20.-25,0
Coccoloba densifrons,a.10.5,300
Coccoloba densifrons,b.5.0,300
Coccoloba densifrons,c.0.-5,900
Coccoloba densifrons,d.-5.-10,200
Coccoloba densifrons,e.-10.-15,100
Coccoloba densifrons,f.-15.-20,N/A
Coccoloba densifrons,g.-20.-25,N/A
Coccoloba excelsa,a.10.5,100
Coccoloba excelsa,b.5.0,800
Coccoloba excelsa,c.0.-5,N/A
Coccoloba excelsa,d.-5.-10,N/A
Coccoloba excelsa,e.-10.-15,0
Coccoloba excelsa,f.-15.-20,N/A
Coccoloba excelsa,g.-20.-25,N/A
Coccoloba lehmannii,a.10.5,0
Coccoloba lehmannii,b.5.0,N/A
Coccoloba lehmannii,c.0.-5,500
Coccoloba lehmannii,d.-5.-10,N/A
Coccoloba lehmannii,e.-10.-15,0
Coccoloba lehmannii,f.-15.-20,0
Coccoloba lehmannii,g.-20.-25,N/A
Coccoloba mollis,a.10.5,500
Coccoloba mollis,b.5.0,400
Coccoloba mollis,c.0.-5,900
Coccoloba mollis,d.-5.-10,1500
Coccoloba mollis,e.-10.-15,1500
Coccoloba mollis,f.-15.-20,1300
Coccoloba mollis,g.-20.-25,N/A
Coccoloba obovata,a.10.5,1200
Coccoloba obovata,b.5.0,300
Coccoloba obovata,c.0.-5,300
Coccoloba obovata,d.-5.-10,N/A
Coccoloba obovata,e.-10.-15,N/A
Coccoloba obovata,f.-15.-20,0
Coccoloba obovata,g.-20.-25,N/A
Cochlospermum orinocense,a.10.5,900
Cochlospermum orinocense,b.5.0,400
Cochlospermum orinocense,c.0.-5,N/A
Cochlospermum orinocense,d.-5.-10,100
Cochlospermum orinocense,e.-10.-15,400
Cochlospermum orinocense,f.-15.-20,N/A
Cochlospermum orinocense,g.-20.-25,N/A
Coffea arabica,a.10.5,1600
Coffea arabica,b.5.0,1900
Coffea arabica,c.0.-5,2000
Coffea arabica,d.-5.-10,1300
Coffea arabica,e.-10.-15,1900
Coffea arabica,f.-15.-20,1500
Coffea arabica,g.-20.-25,N/A
Conceveiba terminalis,a.10.5,0
Conceveiba terminalis,b.5.0,100
Conceveiba terminalis,c.0.-5,0
Conceveiba terminalis,d.-5.-10,N/A
Conceveiba terminalis,e.-10.-15,800
Conceveiba terminalis,f.-15.-20,N/A
Conceveiba terminalis,g.-20.-25,N/A
Condaminea corymbosa,a.10.5,1400
Condaminea corymbosa,b.5.0,1800
Condaminea corymbosa,c.0.-5,2200
Condaminea corymbosa,d.-5.-10,1900
Condaminea corymbosa,e.-10.-15,2400
Condaminea corymbosa,f.-15.-20,2400
Condaminea corymbosa,g.-20.-25,N/A
Cordia alliodora,a.10.5,1700
Cordia alliodora,b.5.0,3300
Cordia alliodora,c.0.-5,2000
Cordia alliodora,d.-5.-10,2600
Cordia alliodora,e.-10.-15,1800
Cordia alliodora,f.-15.-20,1400
Cordia alliodora,g.-20.-25,1300
Cordia bicolor,a.10.5,1200
Cordia bicolor,b.5.0,200
Cordia bicolor,c.0.-5,N/A
Cordia bicolor,d.-5.-10,200
